City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
145,Saint-Philippe,RE,81.99,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
146,Honiara,SB,78.94,scattered clouds,-9.4333,159.95,Heritage Park Hotel
147,Kualakapuas,ID,75.36,broken clouds,-3.0091,114.3876,Guest House Izonk
148,Tabou,CI,79.12,clear sky,4.423,-7.3528,hotêl doufoulougou
150,Pacific Grove,US,64.11,clear sky,36.6177,-121.9166,Lovers Point Inn
151,Kahului,US,76.84,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
152,Victoria,HK,65.17,overcast clouds,22.2855,114.1577,Mini Hotel Central
155,Bugene,TZ,61.81,overcast clouds,-1.5911,31.1403,Triple P Hotel
157,Lichinga,MZ,66.29,broken clouds,-13.3128,35.2406,Residencial Bendiak
159,Mwense,ZM,64.9,light rain,-10.3845,28.698,Mwense Council Guest House
160,Jieshi,CN,62.94,overcast clouds,22.8134,115.8257,Yuehai Hotel
161,Raver,IN,65.93,clear sky,21.25,76.0333,Hotel Jay Durga
163,Mitsamiouli,KM,82.69,light rain,-11.3847,43.2844,Foyer ADM
165,Kulhudhuffushi,MV,81.43,overcast clouds,6.6221,73.07,Haajy Guest House 1
169,Port Hueneme,US,69.78,clear sky,34.1478,-119.1951,Hampton Inn Channel Islands Harbor
172,Boende,CD,79.66,overcast clouds,-0.2167,20.8667,
173,Bengkulu,ID,75.16,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
174,Kabala,SL,80.2,clear sky,9.5833,-11.55,Kabala Hill View
177,Nishihara,JP,64.06,moderate rain,26.1842,127.7558,Minshuku Agaihama
178,Cidreira,BR,82.42,clear sky,-30.1811,-50.2056,Hotel Castelo
179,Morondava,MG,82.89,overcast clouds,-20.2833,44.2833,La Case Bambou
181,Mgandu,TZ,61.56,light rain,-5.95,34.1333,
182,Jega,NG,73.63,few clouds,12.2175,4.3792,ALH. Nasiru Ibrahim
184,Bambous Virieux,MU,82.22,scattered clouds,-20.3428,57.7575,Casa Tia Villa
186,Nouadhibou,MR,73.38,broken clouds,20.931,-17.0347,El Medina
187,Coihaique,CL,65.01,broken clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
188,Cap Malheureux,MU,82.47,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
189,Itoman,JP,64.78,moderate rain,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
191,Ponta Do Sol,PT,67.71,broken clouds,32.6667,-17.1,Hotel do Campo
192,Mackay,AU,80.58,overcast clouds,-21.15,149.2,International Lodge Motel
193,Port Lincoln,AU,67.62,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
196,Bloemfontein,ZA,71.08,clear sky,-29.1211,26.214,aha Bloemfontein Hotel
197,Port Shepstone,ZA,74.3,overcast clouds,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
198,Port Elizabeth,ZA,77.09,clear sky,-33.918,25.5701,39 On Nile Guest House
202,Salvador,SV,84.24,clear sky,13.8333,-88.9167,Chico's Ranch
203,Praia,CV,77.54,broken clouds,14.9215,-23.5087,LT Aparthotel
207,Stawell,AU,65.71,overcast clouds,-37.05,142.7667,Motel Stawell
210,Zhongshan,CN,65.79,overcast clouds,21.3226,110.5829,Jianmin Restaurant
211,Labuhan,ID,77.02,overcast clouds,-6.8844,112.2051,DoubleFAG
216,Fortuna,US,62.94,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
218,Atar,MR,79.3,overcast clouds,20.5169,-13.0499,Oumou Elghoura
220,Pangkalanbuun,ID,72.5,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
221,Pemangkat,ID,76.82,clear sky,1.1667,108.9667,Ramah Kost KITA
224,Amudat,UG,73.45,overcast clouds,1.95,34.95,Silent Night Hotel
228,Sumbe,AO,75.47,broken clouds,-11.2061,13.8437,Hotel Ritz Sumbe
229,Agaro,ET,64.89,overcast clouds,7.85,36.65,
236,San Ramon,US,62.47,clear sky,37.7799,-121.978,San Ramon Marriott
238,Iquique,CL,72.32,overcast clouds,-20.2208,-70.1431,Backpacker`s Hostel Iquique
241,Bintulu,MY,77.41,few clouds,3.1667,113.0333,900 Boutique INN
244,Springbok,ZA,79.56,moderate rain,-29.6643,17.8865,Undulata Country Lodge
245,Vangaindrano,MG,76.15,light rain,-23.35,47.6,Hotel Fanilo
246,Hobyo,SO,77.77,light rain,5.3505,48.5268,Halane Hotel and Restaurent
247,Grand Gaube,MU,82.38,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
248,Port-Gentil,GA,80.56,few clouds,-0.7193,8.7815,Fengshui Residence
249,Abengourou,CI,79.23,clear sky,6.7297,-3.4964,Hotel des Princes
250,Auki,SB,78.35,few clouds,-8.7676,160.7034,Auki Motel
252,Kabanjahe,ID,63.36,broken clouds,3.1001,98.4908,Kos-Kosan wanita muslim bagoes kabanjahe
253,Emerald,AU,69.94,clear sky,-23.5333,148.1667,The Irish Village
257,Sai Buri,TH,75.81,clear sky,6.7013,101.6168,ร้าน​ เวดดิ้ง
258,Port Blair,IN,73.44,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
259,Makakilo City,US,75.29,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
260,Ishigaki,JP,71.1,overcast clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
261,Pak Thong Chai,TH,76.66,few clouds,14.7226,102.0251,Mulberry House Korat
263,Port Hedland,AU,84.25,light intensity shower rain,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
264,Gamba,GA,76.68,light rain,-2.65,10.0,
267,Mount Gambier,AU,67.91,overcast clouds,-37.8333,140.7667,The Commodore
268,Camacha,PT,62.53,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
270,Micomeseng,GQ,73.11,scattered clouds,2.1462,10.6164,
271,Dingle,PH,73.45,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
274,Lompoc,US,69.12,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
