City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Saint-Joseph,RE,2022-01-18 00:48:54,-21.3667,55.6167,77.38,84,93,1.74
68,Tasiilaq,GL,2022-01-18 00:48:54,65.6145,-37.6368,15.96,68,9,10.42
69,Litovko,RU,2022-01-18 00:48:55,49.2361,135.1742,-1.14,84,42,1.57
70,Mar Del Plata,AR,2022-01-18 00:44:26,-38.0023,-57.5575,64.09,67,100,5.99
71,New Norfolk,AU,2022-01-18 00:48:55,-42.7826,147.0587,65.91,35,85,2.46
72,Hobyo,SO,2022-01-18 00:48:55,5.3505,48.5268,77.27,80,100,14.18
73,Turukhansk,RU,2022-01-18 00:48:56,65.8167,87.9833,15.51,93,100,17.76
74,Bengkulu,ID,2022-01-18 00:48:56,-3.8004,102.2655,77.58,83,99,4.43
75,Arraias,BR,2022-01-18 00:48:57,-12.9288,-46.9437,71.47,79,48,2.19
76,Bethel,US,2022-01-18 00:48:57,41.3712,-73.414,35.76,82,100,3.0
77,Curuca,BR,2022-01-18 00:48:59,-0.7289,-47.8481,73.72,96,99,3.71
78,Airai,TL,2022-01-18 00:49:00,-8.9266,125.4092,67.42,78,100,2.93
79,Marienburg,PL,2022-01-18 00:49:00,54.0359,19.0266,32.11,77,7,14.03
80,Port Lincoln,AU,2022-01-18 00:49:00,-34.7333,135.8667,63.54,60,100,17.72
81,Verkhnedneprovskiy,RU,2022-01-18 00:49:01,54.9813,33.3457,20.61,88,100,23.15
82,Hobart,AU,2022-01-18 00:49:01,-42.8794,147.3294,66.25,55,75,3.0
83,Namatanai,PG,2022-01-18 00:49:01,-3.6667,152.4333,84.83,72,100,5.84
84,Martapura,ID,2022-01-18 00:49:02,-3.4167,114.85,77.09,94,75,6.91
85,Siuna,NI,2022-01-18 00:49:02,13.7332,-84.7773,69.19,85,7,6.38
86,Komsomolskiy,UZ,2022-01-18 00:49:02,40.4272,71.7189,42.22,93,100,2.3
87,Ghanzi,BW,2022-01-18 00:49:03,-21.5667,21.7833,71.96,69,97,8.25
88,Talavera De La Reina,ES,2022-01-18 00:49:04,39.9635,-4.8308,38.21,63,23,4.9
89,Ancud,CL,2022-01-18 00:50:04,-41.8697,-73.8203,53.13,77,1,6.91
90,Carnarvon,AU,2022-01-18 00:50:04,-24.8667,113.6333,91.47,40,0,9.22
91,Olafsvik,IS,2022-01-18 00:50:05,64.8945,-23.7142,38.93,89,100,29.17
92,Howard Springs,AU,2022-01-18 00:50:05,-12.497,131.047,86.83,89,100,3.22
93,Chase,CA,2022-01-18 00:50:05,50.8165,-119.6857,40.08,100,100,0.78
94,Reconquista,AR,2022-01-18 00:50:06,-29.15,-59.65,81.86,62,45,9.31
95,Pasighat,IN,2022-01-18 00:50:06,28.0667,95.3333,51.42,44,0,4.76
96,Cape Town,ZA,2022-01-18 00:49:47,-33.9258,18.4232,68.11,85,0,3.44
97,Thompson,CA,2022-01-18 00:50:09,55.7435,-97.8558,-20.04,76,75,2.3
98,Hithadhoo,MV,2022-01-18 00:50:09,-0.6,73.0833,83.59,77,100,20.49
99,Hamilton,US,2022-01-18 00:50:10,39.1834,-84.5333,28.99,82,100,4.0
100,Mendeleyevsk,RU,2022-01-18 00:50:11,55.9082,52.2905,22.24,90,100,17.0
101,Sorland,NO,2022-01-18 00:50:11,67.667,12.6934,34.56,95,100,28.21
102,Jamestown,US,2022-01-18 00:50:11,42.097,-79.2353,26.19,66,100,10.0
103,Port Alfred,ZA,2022-01-18 00:50:12,-33.5906,26.891,71.01,92,38,16.33
104,Totness,SR,2022-01-18 00:50:12,5.8833,-56.3167,75.79,78,31,9.48
105,Pokrovsk,UA,2022-01-18 00:50:12,48.282,37.1758,29.75,96,100,15.5
106,Khorixas,NA,2022-01-18 00:50:13,-20.3667,14.9667,67.96,51,100,5.35
107,La Macarena,CO,2022-01-18 00:50:13,2.1837,-73.7849,76.91,68,22,2.64
108,Olinda,BR,2022-01-18 00:50:14,-8.0089,-34.8553,82.13,69,40,10.36
109,Vaitape,PF,2022-01-18 00:50:14,-16.5167,-151.75,77.11,89,100,18.52
110,Axim,GH,2022-01-18 00:50:15,4.8699,-2.2405,78.8,83,70,5.57
111,Hermanus,ZA,2022-01-18 00:50:15,-34.4187,19.2345,67.89,80,10,6.6
112,Emerald,AU,2022-01-18 00:50:15,-23.5333,148.1667,88.34,51,75,14.97
113,Micheweni,TZ,2022-01-18 00:50:16,-4.9667,39.8333,80.42,74,83,8.01
114,Touros,BR,2022-01-18 00:50:16,-5.1989,-35.4608,79.7,77,15,14.09
115,Bichura,RU,2022-01-18 00:50:17,50.5881,107.6022,-3.08,99,95,1.52
116,Qaanaaq,GL,2022-01-18 00:50:17,77.484,-69.3632,-16.91,62,8,9.24
117,Vestmannaeyjar,IS,2022-01-18 00:50:17,63.4427,-20.2734,44.98,89,100,26.37
118,Dharchula,IN,2022-01-18 00:50:18,29.85,80.5333,46.99,54,25,6.02
119,Carutapera,BR,2022-01-18 00:50:18,-1.195,-46.02,75.33,94,100,4.65
120,Gambela,ET,2022-01-18 00:50:19,8.25,34.5833,74.19,40,60,0.51
121,Athabasca,CA,2022-01-18 00:50:19,54.7169,-113.2854,10.22,93,100,17.85
122,Nuuk,GL,2022-01-18 00:50:19,64.1835,-51.7216,9.77,89,100,5.48
123,Portel,BR,2022-01-18 00:50:20,-1.9356,-50.8211,74.32,95,99,3.27
124,Arraial Do Cabo,BR,2022-01-18 00:50:20,-22.9661,-42.0278,76.28,85,0,25.41
125,Georgetown,MY,2022-01-18 00:50:20,5.4112,100.3354,82.33,67,20,8.01
126,Portland,US,2022-01-18 00:49:21,45.5234,-122.6762,45.19,89,100,1.99
127,Am Timan,TD,2022-01-18 00:50:21,11.0297,20.2827,68.56,22,1,8.28
128,Chicama,PE,2022-01-18 00:50:21,-7.8447,-79.1469,68.54,77,84,6.73
129,Aksarka,RU,2022-01-18 00:50:22,66.5606,67.7975,3.13,98,100,5.12
130,Hermanuv Mestec,CZ,2022-01-18 00:50:22,49.9471,15.6649,33.39,79,0,6.91
131,Khatanga,RU,2022-01-18 00:50:22,71.9667,102.5,-9.8,90,15,7.61
132,Seoul,KR,2022-01-18 00:50:08,37.5683,126.9778,20.64,58,0,1.14
133,Srednekolymsk,RU,2022-01-18 00:51:23,67.45,153.6833,-46.07,100,63,4.21
134,Fukue,JP,2022-01-18 00:51:24,32.6881,128.8419,39.56,70,75,11.5
135,Yulara,AU,2022-01-18 00:51:24,-25.2406,130.9889,73.24,78,100,4.61
136,Gold Coast,AU,2022-01-18 00:51:25,-28.0,153.4333,88.77,82,93,1.99
137,Waipawa,NZ,2022-01-18 00:51:26,-41.4122,175.5153,70.93,53,3,7.09
138,Kununurra,AU,2022-01-18 00:51:27,-15.7667,128.7333,87.78,70,99,8.05
139,Avarua,CK,2022-01-18 00:51:27,-21.2078,-159.775,82.45,78,100,21.85
140,Limbang,MY,2022-01-18 00:51:28,4.75,115.0,79.11,83,100,1.72
141,Arbagar,RU,2022-01-18 00:51:29,51.9438,116.2805,-29.92,99,15,0.87
142,Mogadishu,SO,2022-01-18 00:51:30,2.0371,45.3438,76.91,80,100,15.97
143,Boyolangu,ID,2022-01-18 00:51:32,-8.1181,111.8935,80.65,78,33,1.23
144,Fujinomiya,JP,2022-01-18 00:51:33,35.2167,138.6167,39.79,30,0,2.1
145,Yellowknife,CA,2022-01-18 00:51:33,62.456,-114.3525,-27.58,83,20,8.05
146,Kalmunai,LK,2022-01-18 00:51:33,7.4167,81.8167,74.89,87,95,6.53
147,Kamaishi,JP,2022-01-18 00:51:34,39.2667,141.8833,25.75,58,56,17.9
148,Sur,OM,2022-01-18 00:51:35,22.5667,59.5289,69.98,81,0,10.27
149,Vila Velha,BR,2022-01-18 00:51:00,-20.3297,-40.2925,78.75,83,75,11.5
150,Delmas,HT,2022-01-18 00:51:36,18.5447,-72.3028,81.32,65,25,2.3
151,Chokurdakh,RU,2022-01-18 00:51:37,70.6333,147.9167,-43.29,100,92,6.13
152,Belmonte,BR,2022-01-18 00:51:37,-15.8631,-38.8828,81.1,85,99,3.76
153,Rocha,UY,2022-01-18 00:51:38,-34.4833,-54.3333,68.27,94,25,7.65
154,Cayenne,GF,2022-01-18 00:51:38,4.9333,-52.3333,78.1,85,75,1.01
155,Salalah,OM,2022-01-18 00:51:38,17.0151,54.0924,69.58,78,64,0.67
156,Nikolskoye,RU,2022-01-18 00:51:39,59.7035,30.7861,22.87,80,88,10.98
157,Cockburn Town,TC,2022-01-18 00:51:02,21.4612,-71.1419,78.64,71,0,8.84
158,Saint-Louis,SN,2022-01-18 00:51:39,16.3333,-15.0,73.04,17,0,9.95
159,Tiksi,RU,2022-01-18 00:51:39,71.6872,128.8694,-24.3,97,42,7.0
160,Sitka,US,2022-01-18 00:51:40,57.0531,-135.33,35.49,80,20,4.61
161,Faanui,PF,2022-01-18 00:51:40,-16.4833,-151.75,77.13,89,100,18.54
162,Tongliao,CN,2022-01-18 00:51:41,43.6125,122.2653,3.43,91,99,5.68
163,Port Blair,IN,2022-01-18 00:51:41,11.6667,92.75,79.03,75,100,10.45
164,Zhigansk,RU,2022-01-18 00:51:41,66.7697,123.3711,-38.11,99,95,11.32
165,Esso,RU,2022-01-18 00:51:42,55.9333,158.7,9.46,95,100,4.59
166,Khatassy,RU,2022-01-18 00:51:42,61.9036,129.6383,-40.02,98,100,1.05
167,Ust-Tsilma,RU,2022-01-18 00:51:42,65.441,52.1498,9.73,98,100,3.09
168,Bulnes,CL,2022-01-18 00:48:10,-36.7423,-72.2985,55.42,37,6,11.92
169,Teknaf,BD,2022-01-18 00:51:43,20.8624,92.3058,60.69,74,0,4.52
170,Beringovskiy,RU,2022-01-18 00:51:43,63.05,179.3167,-15.97,93,83,13.18
171,Haines Junction,CA,2022-01-18 00:51:43,60.7522,-137.5108,-4.05,84,92,1.14
172,Mirskoy,RU,2022-01-18 00:51:44,45.5439,40.3998,29.48,87,100,11.65
173,Marawi,PH,2022-01-18 00:51:44,7.9986,124.2928,68.65,82,84,5.3
174,Mlalo,TZ,2022-01-18 00:51:45,-4.9333,38.9333,74.17,84,100,3.4
175,Talnakh,RU,2022-01-18 00:51:45,69.4865,88.3972,13.21,96,98,9.48
176,Port Macquarie,AU,2022-01-18 01:03:20,-31.4333,152.9167,84.88,72,90,11.7
177,Lebu,CL,2022-01-18 01:01:11,-37.6167,-73.65,54.61,59,0,17.07
178,Encruzilhada Do Sul,BR,2022-01-18 01:03:22,-30.5439,-52.5219,73.27,85,100,7.78
179,Nemuro,JP,2022-01-18 01:03:24,43.3236,145.575,30.43,86,100,17.13
180,Junin,AR,2022-01-18 01:00:44,-34.5838,-60.9433,60.28,85,100,15.86
181,Saldanha,ZA,2022-01-18 01:03:27,-33.0117,17.9442,65.41,95,5,6.11
182,Road Town,VG,2022-01-18 01:00:32,18.4167,-64.6167,75.99,66,6,13.87
183,Carauari,BR,2022-01-18 01:03:28,-4.8828,-66.8958,76.73,87,61,1.88
184,Canutama,BR,2022-01-18 01:03:29,-6.5339,-64.3831,74.41,96,86,3.13
185,Roald,NO,2022-01-18 01:01:15,62.5833,6.1333,44.01,87,75,20.71
186,Pingliang,CN,2022-01-18 01:03:29,35.5392,106.6861,31.64,53,0,1.99
187,Ribeira Grande,PT,2022-01-18 01:03:29,38.5167,-28.7,58.44,75,100,11.68
188,Smithers,CA,2022-01-18 01:03:25,54.7804,-127.1743,23.29,96,11,2.93
189,Verkhnetulomskiy,RU,2022-01-18 01:03:30,68.6073,31.7962,21.33,83,96,10.49
190,Vagay,RU,2022-01-18 01:03:31,57.9375,69.0217,8.04,91,90,9.55
191,Sibolga,ID,2022-01-18 01:00:08,1.7427,98.7792,75.9,91,100,5.08
192,Katobu,ID,2022-01-18 01:03:31,-4.9408,122.5276,82.49,75,100,2.95
193,Tucurui,BR,2022-01-18 01:03:32,-3.7661,-49.6725,74.16,94,100,1.9
194,Brandon,US,2022-01-18 00:58:51,27.9378,-82.2859,61.03,84,0,1.01
195,Barrow,US,2022-01-18 01:03:32,71.2906,-156.7887,-16.58,69,100,3.44
196,Payson,US,2022-01-18 01:03:33,40.0444,-111.7321,41.4,62,100,2.91
197,Kloulklubed,PW,2022-01-18 01:03:33,7.0419,134.2556,84.7,78,100,12.53
198,Hachinohe,JP,2022-01-18 01:03:34,40.5,141.5,25.83,51,8,13.6
199,Eureka,US,2022-01-18 01:03:34,40.8021,-124.1637,49.19,86,100,1.99
200,Dayong,CN,2022-01-18 01:03:34,25.0209,118.2898,59.9,67,100,3.18
201,Kaka,TM,2022-01-18 01:03:35,37.3482,59.6143,35.87,80,0,1.81
202,Wagar,SD,2022-01-18 01:03:35,16.1525,36.2032,63.66,20,9,12.82
203,Bentiu,SS,2022-01-18 01:00:14,9.2333,29.8333,77.52,21,100,5.32
204,Ilulissat,GL,2022-01-18 01:03:36,69.2167,-51.1,6.82,56,99,21.85
205,Port Hardy,CA,2022-01-18 01:00:20,50.6996,-127.4199,45.75,94,100,5.82
206,Urusha,RU,2022-01-18 01:03:37,54.05,122.9,-20.87,89,15,2.57
207,Labranzagrande,CO,2022-01-18 01:03:37,5.5622,-72.575,67.68,86,71,1.86
208,Labuhan,ID,2022-01-18 01:03:37,-6.8844,112.2051,80.1,82,99,8.37
209,San Quintin,MX,2022-01-18 01:03:38,30.4833,-115.95,62.85,75,1,8.12
210,Manbij,SY,2022-01-18 01:03:38,36.5281,37.9549,29.17,55,8,7.0
211,Mitsamiouli,KM,2022-01-18 01:03:38,-11.3847,43.2844,82.89,73,75,9.69
212,Vitim,RU,2022-01-18 01:03:39,59.4511,112.5578,-28.19,98,6,2.57
213,Acarau,BR,2022-01-18 01:01:50,-2.8856,-40.12,80.51,78,44,15.48
214,Kalianget,ID,2022-01-18 01:03:39,-7.05,113.9333,79.21,85,100,12.88
215,Kaseda,JP,2022-01-18 01:03:40,31.4167,130.3167,43.84,61,97,20.18
216,Lodja,CD,2022-01-18 01:03:40,-3.4833,23.4333,67.44,99,100,1.99
217,Vardo,NO,2022-01-18 01:03:40,70.3705,31.1107,26.89,66,100,27.85
218,Grand Gaube,MU,2022-01-18 01:03:41,-20.0064,57.6608,78.39,87,26,1.01
